ENTITY_ID,SAMPLE,MODE,RESPONDENT_DATE,EndDate,S1,Q1,Q2,Q3,Q4,Q5,Q6,Q6_CODED,Q6_TEXT,Q7,Q7_CODED,Q7_TEXT,Q8,Q9,Q10,Q11,Q12,Q12_TEXT,Q13,Q14,Q15,Q15_TEXT,Q16,Q16_TEXT,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25A,Q25B,Q25C,Q25D,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q32A,Q32B,Q32C,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q33J,Q34,Q35A,Q35B,Q35C,Q35D,Q36,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q38A,Q38B,Q38C,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q46_TEXT,Q47,Q48,Q49,Q49_TEXT,Q50,Q51,Q52,Q53,Q54A,Q54B,Q54C,Q55,Q55_TEXT,Q56_1,Q56_2,Q56_3,Q56_4,Q57,Q58,Q59,Q60,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q62,Q63,Q64_1,Q64_2,Q64_3,Q64_4,Q64_5,Q64_6,Q65,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Q66_TEXT,Q67,Q68,RACE1,RACE2,RACE3,RACE4,RACE5,RACE6,RACE7,MARITAL_STATUS,EDUCATION,STATE,REGION,DIVISION,WORKER_TYPE,W2_STATUS,WEIGHT
4398199396,4,2,1/28/2025, , ,7,7,2,6,1,15, , ,13, , ,5,2, , ,1, , ,5,1, ,1, ,5,0,0,40,48,40,2,4,4,4,4,1,1,1,1,1,1,1,-99,4,2,2,1,5,1,5,2,1,3,1,1,1,3,1,1,1,3,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,7,7, , , , , , , , , ,53,3,1,0,0,0,1, ,1,-99,-99,-99,2,2,3,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,-99,1,-99,-99,-99, ,1,2, , , , , , ,7,3,2,MA,1,1,1,1,.988426883818035
4398199398,4,2,1/28/2025, , ,10,8,1,10,1,2, , ,12, , ,5,2, , ,1, ,1,5,2, ,1, ,5,1,2,38,38,38,3,6,4,4,2,1,1,1,1,1,1,1,-99,3,2,2,2,2,2,3,1,1,1,1,1,1,3,1,1,1,4,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,10,8, , , , , , , , , ,47,2,1,0,0,0,1, ,1,1,-99,-99,5,2,1,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,-99,1,-99,-99,-99, ,2, , , , , , , ,7,2,5,MA,1,1,1,1,.184232479923536
4398199412,4,2,1/23/2025, , ,8,8,1,8,1,3, , ,13, , ,5,1, , ,1, , ,6,1, ,1, ,5,5,5,40,40,40,3,6,4,4,2,1,1,1,1,1,1,1,-99,3,2,2,2,2,2,2,2,2,2,1,2,1,4,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,7,1,8,7, , , , , , , , , ,48,5,2,0,0,3,1, ,1,-99,-99,-99,6,2,2,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,1,-99,-99,-99,-99, ,2, , , , , , , ,7,5,6,MA,1,1,1,1,.368464959847073
4398199417,4,2,1/30/2025, , ,8,8,2,9,1,20,20,HOME IMPROVEMENT,2, , ,1,4,1,3, , , ,6,2, ,1, ,5,0,0,44,50,40,2,2,1,1,1,1,-99,-99,-99,-99,-99,-99,1,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2,3,2,3,2,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,4,5,1,8,8, , , , , , , , , ,56,2,3,-98,-98,-98,2, ,-99,1,-99,-99,2,1,2,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,2,-99,1,-99,-99,-99, ,2, , , , , , , ,7,2,2,MA,1,1,4,2,3.3414389203219
4398199431,3,1, ,1/16/2025 6:47:11,1,6,7,2,5,1,18, ,-98,17, ,-98,5,1, , ,1,-98, ,5,2,-98,2,-98,5,0,8,40,56,40,4,6,4,4,4,1,1,1,1,1,1,1,-99,3,1,2,1,1,4,3,1,1,2,2,5,2,5,2,3,7,4,4,4,1,1,2,2,2,4,2,2,2,2,1,2,2,2,2,1,1,3,3,4,2,4,6, , , , , , , , , ,30,5,2,0,0,0,1,-98,1,-99,-99,-99,3,2,2,2,-99,-99,1,-99,1,2,1,-99,-99,1,-99,-99,-99,1,-99,1,-99,-99,-99,-98,2, , , , ,4, , , ,5,3,MA,1,1,1,1,1.51582925170204
4398199454,3,1, ,1/14/2025 18:08:23,1,7,8,3,4,1,21, ,-98,2, ,-98,2,2, , ,1,-98, ,5,2,-98,1,-98,4,0,8,37,45,30,2,6,2,2,2,4,-99,-99,-99,-99,-99,-99,1,3,2,1,2,4,4,4,4,4,4,2,1,2,1,6,6,5,5,5,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,7,6, , , , , , , , , ,58,2,1,0,0,0,9,-98,-99,-99,-99,1,5,2,3,2,-99,-99,-99,-99,1,2,2,-99,-99,-99,-99,-99,1,2,-99,1,-99,-99,-99,-98,2, , , , , , , ,7,2,5,MA,1,1,1,1,.189965563022701
4398199457,4,2,1/23/2025, , ,7,7,3,7,1,11, , ,13, , ,5,2, , ,1, , ,5,2, ,1, ,5,0,2,40,42,40,2,6,2,2,2,2,-99,-99,1,-99,-99,-99,-99,2,1,2,3,3,3,3,1,1,1,2,2,3,3,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,2,5,7,7, , , , , , , , , ,43,2,1,-98,-98,-98,1, ,-99,1,-99,-99,5,1,2,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,-99,1,-99,-99,-99, ,2, , , , , , , ,7,2,5,MA,1,1,1,1,.4720614583026
4398199513,3,1, ,1/24/2025 8:33:46,1,9,9,1,9,1,10, ,-98,13, ,-98,5,2, , ,1,-98, ,6,1,-98,1,-98,4,0,8,42,45,37,2,5,2,1,2,1,1,1,1,1,1,1,-99,2,3,2,2,4,3,3,3,2,2,2,2,1,2,4,-98,2,3,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-98,2,9,9, , , , , , , , , ,56,3,1,0,0,1,1,-98,1,-99,1,-99,6,1,1,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,-99,1,-99,-99,-99,-98,2, , , , , , , ,7,3,6,MA,1,1,1,1,.184232479923536
4398199517,4,2,1/23/2025, , ,7,7,2,10,1,15, , ,1,1,CONSERVATION & EDUCATION,2,2, , ,1, ,1,5,2, ,1, ,5,0,8,17,25,12,3,3,1,2,2,1,1,1,1,1,-99,1,-99,3,2,2,2,1,1,2,1,1,2,1,1,1,7,1,1,1,7,1,1,1,1,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,10,8, , , , , , , , , ,70,4,1,0,0,0,4, ,-99,1,-99,-99,6,2,2,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,-99,1,-99,-99,-99, ,2, , , , , , , ,7,4,6,MA,1,1,1,1,.18352187409072
4398199518,4,2,1/23/2025, , ,9,8,3,9,1,18, , ,17, , ,3,1, , ,1, , ,3,2, ,1, ,5,0,8,20,20,16,3,6,1,1,1,1,1,1,1,1,1,-99,-99,3,2,2,2,3,1,1,2,1,1,2,1,1,1,2,1,1,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,9,8, , , , , , , , , ,71,3,1,0,0,0,4, ,-99,1,-99,-99,6,2,1,2,-99,-99,-99,-99,1,2,1,-99,-99,-99,-99,-99,1,1,-99,1,-99,-99,-99, ,2, , , , , , , ,7,3,6,MA,1,1,1,1,.18352187409072
